City,Latitude,Longitude,Temperature (F),Humidity (%),Cloudiness (%),Wind Speed (mph)
Alyangula,-13.85,136.42,75.2,78,26,5.82
Coyhaique,-45.58,-72.07,35.6,93,75,6.93
Labuhan,-6.88,112.21,83.89,74,97,8.48
Henties Bay,-22.12,14.28,73.0,45,0,23.87
Bāglung,28.27,83.59,82.33,52,62,2.82
Pangnirtung,66.15,-65.71,31.1,92,88,2.44
Mogadishu,2.04,45.34,78.8,69,75,13.87
Raudeberg,61.99,5.14,46.0,85,80,18.88
Le Marin,14.47,-60.87,79.0,94,75,2.24
Susuman,62.78,148.17,64.09,37,82,11.07
El Alto,-4.27,-81.21,66.09,83,23,11.39
Waipawa,-41.41,175.52,45.43,81,0,9.17
Zhuhai,22.28,113.57,86.02,94,40,8.05
Wexford,52.33,-6.46,55.47,71,40,6.93
Kumul,42.8,93.45,79.83,14,85,10.78
Pontes e Lacerda,-15.23,-59.34,69.03,91,22,1.59
Makkah al Mukarramah,21.43,39.83,105.64,16,57,5.95
Bandarbeyla,9.49,50.81,94.42,43,0,21.05
Bonito,-21.12,-56.48,66.02,96,3,2.06
Banda Aceh,5.56,95.32,86.02,67,95,10.74
Salinópolis,-0.61,-47.36,77.4,87,53,7.11
Arenápolis,-14.45,-56.85,71.22,76,22,2.64
Ancud,-41.87,-73.82,43.77,87,20,6.93
Mogok,22.92,96.5,74.01,99,100,1.41
Hambantota,6.12,81.12,91.4,63,75,18.34
Saint-Philippe,-21.36,55.77,69.03,69,45,34.45
Faya,18.39,42.45,86.0,17,0,6.93
Dikson,73.51,80.55,32.81,93,0,10.13
Carnarvon,-24.87,113.63,74.88,39,0,14.41
Orán,-23.13,-64.33,53.91,94,100,1.36
Beringovskiy,63.05,179.32,45.39,65,28,2.48
Auki,-8.77,160.7,80.71,79,54,1.86
Macao,22.2,113.55,84.94,94,40,8.05
Camacha,33.08,-16.33,68.0,68,75,8.05
Cabo San Lucas,22.89,-109.91,69.66,87,0,11.68
Dublin,37.7,-121.94,51.53,81,1,4.7
Zaysan,47.47,84.87,72.66,28,0,11.07
Valença do Piauí,-6.41,-41.75,68.97,83,9,6.06
Slave Lake,55.28,-114.77,39.2,93,90,11.41
Banfora,10.63,-4.77,79.29,66,100,5.01
Pasni,25.26,63.47,86.49,72,1,12.8
Synya,65.37,58.04,79.54,37,100,8.23
Tilichiki,60.47,166.1,40.86,93,9,4.29
Qinhuangdao,39.93,119.59,81.61,44,69,14.52
Delémont,47.36,7.34,60.04,72,20,5.82
Anking,30.51,117.05,88.3,62,37,9.1
Adrar,20.5,-10.07,89.87,34,29,21.99
Ust'-Barguzin,53.45,108.98,52.92,59,5,6.73
São Félix do Xingu,-6.64,-51.99,68.83,96,0,2.1
Havelock,34.88,-76.9,65.19,82,1,4.9
Tigil',57.8,158.67,58.73,62,24,11.32
Boyolangu,-8.12,111.89,79.09,83,82,10.02
Half Moon Bay,37.46,-122.43,51.69,87,1,3.36
Lagos,6.58,3.75,82.4,83,20,3.36
Shimokizukuri,40.81,140.39,64.9,77,75,8.05
Jamestown,42.1,-79.24,47.41,93,20,3.36
Lebu,-37.62,-73.65,52.12,79,37,20.38
Pilot Butte,50.47,-104.42,49.1,93,90,11.41
Bilibino,68.05,166.44,63.59,44,74,1.74
Sault Ste. Marie,46.52,-84.33,53.01,81,90,3.36
Chapais,49.78,-74.85,35.6,93,1,3.36
Whitehorse,60.72,-135.05,43.27,81,90,9.17
Sambava,-14.27,50.17,74.26,83,67,15.84
Datong,40.09,113.29,75.43,36,100,13.44
Edd,13.93,41.69,92.3,52,0,8.93
Carballo,43.21,-8.69,59.25,75,51,8.99
Rikitea,-23.12,-134.97,75.15,85,100,21.52
Rocha,-34.48,-54.33,57.85,93,100,5.37
Lázaro Cárdenas,17.96,-102.2,77.04,83,89,3.8
Lagoa,39.05,-27.98,61.92,72,0,6.98
Russell,32.35,-85.2,75.13,88,90,6.93
Bethel,41.37,-73.41,52.75,85,100,4.81
George Town,5.41,100.34,87.91,66,20,9.17
Kapaa,22.08,-159.32,71.67,88,40,10.29
Cravo Norte,6.3,-70.2,75.25,90,91,2.15
Mbigou,-1.9,11.91,73.92,87,98,3.02
La Seyne-sur-Mer,43.1,5.88,68.68,52,9,13.87
Shalinskoye,55.72,93.76,61.61,50,87,11.97
Sawtell,-30.38,153.1,54.48,82,10,6.93
Raglan,-37.8,174.88,47.61,92,0,3.0
Plettenberg Bay,-34.05,23.37,75.78,31,0,4.56
Denpasar,-8.65,115.22,82.4,83,40,13.87
Chiredzi,-21.05,31.67,73.02,48,0,5.08
Saint George,37.1,-113.58,59.0,30,1,14.99
Port Lincoln,-34.73,135.87,52.09,70,70,8.68
Bredasdorp,-34.53,20.04,59.0,82,0,5.82
Tabas,33.6,56.92,95.0,16,0,9.17
Ambon City,-3.7,128.18,78.8,94,40,9.17
Sinnamary,5.38,-52.95,76.53,89,11,4.63
Aykhal,66.0,111.5,71.6,30,40,8.95
Reguengos de Monsaraz,38.43,-7.53,60.8,67,20,17.22
Eséka,3.65,10.77,83.46,69,64,3.38
Bella Vista,36.43,-94.23,72.27,88,1,4.7
Ruska Poliana,49.42,31.92,75.47,66,88,12.73
Zaraza,9.35,-65.32,74.66,92,79,1.72
Tutóia,-2.76,-42.27,73.62,93,94,5.91
Río Gallegos,-51.62,-69.22,33.8,80,45,17.22
Port Elizabeth,-33.92,25.57,60.8,67,0,5.82
Iqaluit,63.75,-68.51,30.09,100,90,4.7
Mount Gambier,-37.83,140.77,50.0,81,90,5.82
Dingle,11.0,122.67,87.22,66,97,7.18
Noumea,-22.28,166.46,68.0,82,20,9.73
Kambove,-10.88,26.6,70.57,41,0,8.05
Vila Franca do Campo,37.72,-25.43,64.4,72,20,11.41
Lavrentiya,65.58,-171.0,44.26,66,29,4.65
Tuktoyaktuk,69.45,-133.04,44.42,76,42,2.26
Yangi Marg`ilon,40.43,71.72,69.8,60,40,4.34
Road Town,18.42,-64.62,79.66,90,46,10.94
Morant Bay,17.88,-76.41,76.32,83,20,12.75
Soyo,-6.13,12.37,77.0,94,40,4.7
Marzuq,14.4,46.47,95.36,11,3,10.42
Namioka,40.71,140.59,64.71,77,75,8.05
Agirish,61.92,63.02,84.24,23,0,7.7
Pisco,-13.7,-76.22,61.48,82,90,4.7
Longyearbyen,78.22,15.64,39.2,86,75,20.8
Hutang,31.53,119.48,80.01,67,46,18.66
Mar del Plata,-38.0,-57.56,56.3,100,90,5.03
Garchitorena,13.88,123.69,86.27,71,83,6.15
Ibrā’,22.69,58.53,110.82,9,0,2.93
Vung Tau,10.35,107.08,87.55,70,100,13.91
Tocopilla,-22.09,-70.2,64.98,65,25,8.63
Lokomotivnyy,53.01,60.57,78.06,26,44,9.31
Béja,36.73,9.18,76.08,64,20,13.87
Havøysund,71.0,24.66,47.28,87,90,23.04
Mikkeli,61.69,27.27,70.0,64,31,2.08
Yulara,-25.24,130.99,60.8,31,0,9.17
Kingston,18.0,-76.79,76.53,83,20,12.75
San Cristobal,7.77,-72.22,64.36,90,54,2.17
Horta,38.53,-28.63,64.4,59,20,8.05
Kolyvan',55.31,82.74,75.2,41,40,13.42
Khāsh,28.22,61.22,98.78,9,0,8.32
Ribeira Grande,38.52,-28.7,64.4,59,20,8.05
Saint-Joseph,-21.37,55.62,69.12,69,19,34.45
Natchez,31.56,-91.4,74.34,94,90,10.29
Xining,36.62,101.77,66.69,35,100,19.08
Hastings,50.86,0.57,50.83,82,95,4.0
Bontang,0.13,117.5,82.94,82,77,11.05
Sitka,57.05,-135.33,48.2,87,90,3.36
Monrovia,6.3,-10.8,80.6,83,75,1.79
Yellowknife,62.46,-114.35,46.2,69,75,13.87
Geraldton,-28.77,114.6,71.6,46,0,11.41
Hobart,-42.88,147.33,42.44,86,20,4.7
Plainview,40.78,-73.47,58.42,59,1,3.36
Mackay,-21.15,149.2,65.21,88,1,8.05
Santa Inês,-3.67,-45.38,71.22,96,2,2.53
Nanortalik,60.14,-45.24,38.48,90,56,10.63
Arraial do Cabo,-22.97,-42.03,69.8,100,0,5.82
Tam Ky,15.57,108.48,91.4,59,20,11.41
Teknāf,20.86,92.31,87.64,69,50,9.22
Wawa,9.9,4.42,85.86,62,46,4.76
Yar-Sale,66.83,70.83,55.89,62,64,10.33
Koronowo,53.31,17.94,57.76,87,75,11.41
Bonthe,7.53,-12.51,78.6,81,100,3.8
Santa Rosa,14.31,121.11,91.71,56,40,10.29
Motygino,58.18,94.76,65.3,30,45,12.95
Atasū,48.68,71.64,77.76,26,47,14.94
Albany,42.6,-73.97,48.18,90,98,6.24
New Norfolk,-42.78,147.06,43.48,79,8,2.86
Luanda,-8.84,13.23,78.8,74,75,3.36
Akureyri,65.68,-18.09,57.2,50,100,13.87
Medicine Hat,50.05,-110.67,46.15,93,75,5.82
Anadyr,64.75,177.48,57.09,62,20,6.71
Abonnema,4.71,6.79,75.2,88,75,4.7
Severo-Kuril'sk,50.68,156.12,42.8,91,100,17.69
Noril'sk,69.35,88.2,48.2,45,0,29.08
Nuuk,64.18,-51.72,35.29,100,90,9.17
Florida,28.75,-82.5,75.81,88,1,6.96
Raduzhny,62.1,77.47,56.5,65,100,8.39
Ingham,42.6,-84.38,54.72,87,1,4.7
Port Alfred,-33.59,26.89,69.01,72,0,1.01
Tāybād,34.74,60.78,83.7,28,0,26.62
Qingdao,36.1,120.37,80.4,50,0,13.42
Balkanabat,39.51,54.37,91.76,16,0,13.27
Kathmandu,27.72,85.32,80.6,61,75,9.17
Qasigiannguit,68.82,-51.19,33.8,86,75,4.7
Graaff-Reinet,-32.25,24.53,75.99,21,0,5.01
Punta Arenas,-53.15,-70.92,35.29,74,20,20.8
Ternate,0.8,127.4,79.32,86,100,11.7
Zyryanovsk,49.74,84.27,70.65,46,62,4.27
Samaná,19.21,-69.34,76.37,87,72,6.02
Upernavik,72.79,-56.15,31.35,92,91,0.47
Babati,-4.22,35.75,73.09,57,50,6.26
Bonfim,3.08,-59.95,72.91,96,100,6.04
Charter Township of Clinton,42.59,-82.92,51.17,100,1,6.93
Svodín,47.91,18.5,63.0,77,100,3.11
Bouca,6.51,18.27,85.01,64,95,4.83
Koumac,-20.57,164.28,71.47,77,100,8.21
Vila Velha,-20.33,-40.29,65.75,100,0,2.24
Busselton,-33.65,115.33,62.51,60,80,4.74
Hare Bay,48.85,-54.01,41.0,100,90,19.46
Hermanus,-34.42,19.23,62.01,81,4,1.25
Pacific Grove,36.62,-121.92,52.57,81,1,5.82
Salalah,17.02,54.09,91.4,75,40,14.99
Seshcha,53.74,33.34,77.16,73,74,8.86
Vila do Maio,15.13,-23.22,78.8,54,20,8.05
Atar,20.52,-13.05,91.4,33,14,20.8
Ekimchan,53.07,132.97,60.35,63,100,3.2
Coquimbo,-29.95,-71.34,42.8,87,1,4.7
Westport,41.14,-73.36,56.55,62,1,6.93
Saskylakh,71.92,114.08,39.15,73,100,13.04
Wajima,37.4,136.9,71.6,68,40,4.7
Castro,-24.79,-50.01,51.31,84,23,2.8
Emerald,-23.53,148.17,71.47,38,90,8.05
Sarāi Mīr,26.02,82.92,96.8,44,40,6.93
Port Blair,11.67,92.75,84.38,77,78,18.45
Bonavista,48.65,-53.11,45.0,83,100,3.85
Lorengau,-2.02,147.27,83.77,71,58,7.56
Cartagena del Chairá,1.33,-74.84,70.57,97,100,2.04
Yamada,39.47,141.95,62.69,84,92,5.19
Nago,26.59,127.98,75.69,100,20,13.85
Okhotsk,59.38,143.3,48.07,77,15,6.49
Narsaq,60.92,-46.05,41.0,80,75,2.93
City of San Pedro,14.35,121.02,91.72,56,40,10.29
Te Anau,-45.42,167.72,43.27,83,97,5.91
Manzhouli,49.6,117.43,68.4,34,100,6.8
Burnie,-41.07,145.92,43.68,79,25,4.0
Nikolskoye,59.7,30.79,80.82,44,58,8.95
Saint-Leu,-21.15,55.28,69.57,69,17,34.45
Lüderitz,-26.65,15.16,84.2,16,0,19.46
Bambous Virieux,-20.34,57.76,74.16,64,40,17.22
Faanui,-16.48,-151.75,78.44,69,2,10.71
Mandalgovi,45.76,106.27,60.98,32,96,14.81
Buchach,49.06,25.39,77.0,53,100,6.71
Airai,-8.93,125.41,62.71,100,92,2.93
East London,-33.02,27.91,77.0,27,0,4.7
Ogbomosho,8.13,4.25,83.14,67,31,4.18
Kvarkeno,52.08,59.73,79.66,23,48,10.04
Griffith,41.53,-87.42,61.16,93,1,7.96
Nardaran,40.56,50.01,84.2,35,0,13.87
Kibaya,-5.3,36.57,70.79,58,56,8.19
Ketchikan,55.34,-131.65,47.82,93,90,3.36
Mīzan Teferī,6.98,35.58,71.15,87,69,2.19
Brainerd,46.36,-94.2,72.46,69,1,9.17
Mayor Pablo Lagerenza,-19.93,-60.77,69.57,87,92,6.76
San Rafael del Sur,11.85,-86.44,77.5,87,62,4.83
Dudinka,69.41,86.18,48.2,45,0,29.08
Bluff,-46.6,168.33,49.23,75,67,26.06
Launceston,-41.45,147.17,35.65,75,13,2.24
Seoul,37.57,126.98,85.78,57,0,13.87
Keflavik,64.0,-22.56,50.67,100,90,24.16
Plattling,48.78,12.87,55.76,78,98,2.71
Ponta do Sol,32.67,-17.1,66.18,64,40,8.05
Touros,-5.2,-35.46,71.6,100,40,4.7
Hofn,64.25,-15.21,48.2,87,90,4.7
Tuatapere,-46.13,167.68,44.51,82,68,8.61
Thompson,55.74,-97.86,46.4,81,90,10.29
Straumen,63.87,11.3,47.01,93,90,16.11
Nioro,13.35,-15.75,82.11,65,99,5.79
Russkiy Aktash,55.04,52.12,66.2,72,75,8.95
Palu,-0.89,119.87,81.36,79,75,1.39
Paamiut,61.99,-49.67,39.13,94,99,11.56
Tautira,-17.73,-149.15,73.2,78,20,2.24
Arrondissement de Saint-Denis,48.92,2.33,59.99,72,74,6.93
Pampierstad,-27.78,24.69,66.7,25,0,6.44
Naryan-Mar,67.67,53.09,73.18,45,63,11.56
Tasiilaq,65.61,-37.64,42.8,75,100,17.22
Don Luan,11.53,106.92,91.92,54,99,4.52
Lahaina,20.88,-156.68,72.7,65,1,11.41
Jiuquan,39.74,98.52,73.13,19,43,10.09
High Prairie,55.43,-116.49,36.9,97,100,5.82
Le Port,-20.94,55.29,66.63,57,20,26.4
Iwanai,42.97,140.51,59.56,80,96,5.26
Birjand,32.87,59.22,89.6,14,0,13.87
Okha,53.57,142.95,40.93,92,91,8.43
Chunhuhub,19.55,-88.68,76.6,99,94,3.89
Kruisfontein,-34.0,24.73,76.5,24,0,9.1
Chauk,20.88,94.82,100.65,35,26,6.71
Hulan Ergi,47.2,123.63,81.54,53,100,21.47
West Wendover,40.74,-114.07,44.6,45,20,23.04
Tongren,27.72,109.19,83.61,77,60,3.04
Kokstad,-30.55,29.42,65.39,27,0,4.03
Ayan,56.45,138.17,40.89,98,100,2.3
Mossamedes,-15.2,12.15,64.4,93,0,4.41
Fort Nelson,58.81,-122.7,44.42,97,100,6.4
Verāval,20.9,70.37,89.46,64,8,12.19
Takoradze,4.88,-1.76,81.23,78,79,4.36
Dunedin,-45.87,170.5,46.54,59,5,11.14
Nagua,19.38,-69.85,75.33,89,70,3.67
Isangel,-19.55,169.27,77.0,88,90,5.82
Aitape,-3.14,142.35,81.45,83,100,6.71
Chui,-33.7,-53.46,58.39,95,100,4.76
Padang,-0.95,100.35,85.21,65,0,6.04
Provideniya,64.38,-173.3,54.55,49,41,2.68
Puerto Escondido,15.85,-97.07,79.83,78,27,2.35
San Patricio,19.22,-104.7,73.24,82,57,0.81
Champotón,19.35,-90.72,77.05,92,100,6.33
Paraíso,9.84,-83.87,66.96,88,29,3.36
Mthatha,-31.59,28.78,68.0,37,0,2.24
Yumen,40.28,97.2,73.53,18,68,5.86
Saint Anthony,45.02,-93.22,76.44,65,1,12.75
St. George's,12.06,-61.75,80.6,83,20,11.41
Avarua,-21.21,-159.78,64.4,93,10,2.24
Puerto Ayora,-0.74,-90.35,73.0,92,95,3.0
San Quintín,30.48,-115.95,60.67,87,3,11.36
Bundaberg,-24.85,152.35,66.61,63,90,10.29
Boquira,-12.82,-42.73,65.17,88,25,3.24
Loukhi,66.08,33.04,66.79,38,100,13.04
Barrow,71.29,-156.79,28.4,92,90,6.93
Sanchazi,42.08,126.6,79.95,60,0,6.89
Cidreira,-30.18,-50.21,59.99,86,98,8.32
Hasaki,35.73,140.83,74.44,83,20,8.05
Kununurra,-15.77,128.73,82.4,37,16,5.82
Haines Junction,60.75,-137.51,41.0,82,100,4.14
Biak,-0.91,122.88,77.76,83,100,7.87
Lucapa,-8.42,20.74,81.75,33,0,8.21
Najrān,17.49,44.13,96.8,12,0,6.93
Ambilobe,-13.2,49.05,88.25,36,0,10.54
Prainha,-1.8,-53.48,72.12,97,41,0.85
Novyy Urgal,51.07,132.56,59.54,76,100,6.67
Mahon,39.89,4.27,69.8,60,40,10.29
Cobija,-11.03,-68.77,71.44,87,1,1.21
Deputatsky,69.3,139.9,67.71,29,57,4.25
Raymond,43.9,-70.47,49.01,95,0,5.82
Along,28.17,94.77,90.43,50,11,4.76
Lyuban',52.8,28.0,78.78,64,16,11.21
Port Shepstone,-30.74,30.45,73.67,37,0,5.59
Alice Springs,-23.7,133.88,54.25,35,26,9.17
Talcahuano,-36.72,-73.12,51.8,87,90,6.93
Thanatpin,17.21,96.3,86.0,74,90,5.82
Doha,25.29,51.53,111.54,8,0,13.87
Sorong,-0.88,131.25,83.53,76,60,5.88
Traverse City,44.76,-85.62,53.76,71,1,3.36
Flinders,-34.58,150.86,56.28,78,86,5.99
Mandera,3.94,41.87,88.75,44,84,18.37
Loikaw,19.67,97.21,80.35,78,93,3.89
Bismarck,46.81,-100.78,63.27,88,1,6.93
Kayseri Province,38.74,35.5,87.8,25,40,4.7
Betafo,-19.83,46.85,64.08,42,74,8.84
Khor,47.89,134.95,65.28,86,100,1.52
Ulladulla,-35.35,150.47,50.18,87,90,11.41
Manuk Mangkaw,4.8,119.85,84.42,71,100,7.58
Gobabis,-22.45,18.97,68.0,28,0,8.05
Kodinsk,58.69,99.18,65.86,27,0,12.93
Nelson Bay,-32.72,152.15,55.72,100,75,9.17
Saint Paul Harbor,57.79,-152.41,46.4,75,75,3.36
São João da Barra,-21.64,-41.05,69.57,91,6,8.1
Fuxin,42.02,121.66,88.77,33,86,17.36
Teya,60.38,92.63,59.74,35,99,10.54
Avera,33.19,-82.53,72.63,96,90,3.36
Grand Baie,-20.02,57.58,75.0,57,6,15.01
Acarí,-15.43,-74.62,63.5,69,67,2.17
Vilyuysk,63.76,121.62,69.82,44,100,13.78
Maragogi,-9.01,-35.22,75.96,86,50,6.33
Antsohihy,-14.88,47.99,87.58,36,0,12.66
Los Teques,10.34,-67.04,71.01,83,6,0.72
Bodden Town,19.28,-81.25,81.34,80,100,5.99
North Bend,43.41,-124.22,48.61,100,75,5.82
Leh,34.17,77.58,61.21,29,81,4.74
Pahrump,36.21,-115.98,56.98,21,0,8.01
Tshikapa,-6.42,20.8,88.97,33,1,5.46
Margate,51.38,1.39,52.36,82,97,1.99
Tarauacá,-8.16,-70.77,70.97,86,14,0.6
Thayetmyo,19.32,95.18,95.31,48,91,12.91
Miraflores,19.22,-98.81,64.2,68,75,8.05
Kirkuk,35.47,44.39,100.18,9,0,9.44
Atuona,-9.8,-139.03,80.8,76,2,9.1
Kalat,29.02,66.59,87.42,12,0,9.75
Butaritari,3.07,172.79,83.12,76,100,9.89
San Juan del Sur,11.25,-85.87,79.3,85,16,5.3
Yichun,47.7,128.9,80.15,61,79,7.56
Poum,-20.23,164.02,73.6,75,100,11.27
Goderich,43.75,-81.72,46.33,86,4,6.98
Matam,15.62,-13.33,78.8,78,20,9.17
Kajaani,64.23,27.73,66.2,42,94,8.05
Sur,22.57,59.53,95.27,49,0,5.48
Norman Wells,65.28,-126.83,55.4,62,75,9.17
Cooma,-36.23,149.13,30.2,80,0,1.03
Necochea,-38.55,-58.74,53.01,99,92,7.31
Malindi,-3.22,40.12,78.8,94,75,9.17
Udachny,66.42,112.4,71.6,30,40,8.95
Port Hedland,-20.32,118.57,77.0,33,0,9.17
Beloha,-25.17,45.05,79.45,33,9,9.93
Rabo de Peixe,37.8,-25.58,64.4,72,20,11.41
Torbay,47.67,-52.73,52.77,100,90,10.29
Pinotepa de Don Luis,16.42,-97.92,70.39,96,24,1.74
Muzhi,65.37,64.67,77.59,45,81,3.94
Forio,40.73,13.86,71.01,82,38,5.01
Kalabo,-14.97,22.68,76.32,31,9,6.55
Bara,10.37,10.73,90.73,44,1,8.75
High Rock,26.62,-78.28,80.67,84,100,12.48
Altagracia de Orituco,9.86,-66.38,71.65,92,100,0.51
Grindavik,63.84,-22.43,50.0,100,90,24.16
Manama,26.22,50.58,100.4,27,0,16.11
Tiarei,-17.53,-149.33,73.2,78,20,2.24
Muravlenko,63.79,74.52,52.5,67,98,13.31
Namatanai,-3.67,152.43,82.06,79,64,6.87
Ilulissat,69.22,-51.1,33.8,86,75,4.7
Quanzhou,24.91,118.59,82.4,83,75,6.71
Sørland,67.67,12.69,44.6,93,75,9.17
Belmonte,-15.86,-38.88,68.0,88,20,6.93
Saldanha,-33.01,17.94,57.2,93,4,5.82
Brae,60.4,-1.35,48.2,57,20,10.29
Port Hardy,50.7,-127.42,48.13,80,36,6.08
Oga,46.46,10.35,45.37,75,75,10.29
Onokhoy,51.93,108.07,66.2,32,20,11.18
Tabou,4.42,-7.35,79.68,84,77,7.72
San Andrés,12.58,-81.7,84.2,83,20,8.05
San Ramon,37.78,-121.98,51.53,81,1,4.7
Oranjestad,12.52,-70.03,81.05,85,98,22.3
Colonelganj,27.13,81.7,103.59,23,93,9.37
Manado,1.49,124.85,82.4,74,40,4.7
Virginia Beach,36.85,-75.98,61.36,87,1,3.36
Province of Trapani,37.83,12.67,77.14,78,20,11.41
Charlestown,-32.95,151.67,55.63,93,36,3.0
Mamakan,57.82,114.0,58.73,56,97,17.52
Juiz de Fora,-21.76,-43.35,59.09,94,0,1.9
Syumsi,57.11,51.61,67.3,79,50,5.21
Xichang,27.9,102.26,82.29,53,14,3.4
Daru,-9.08,143.21,78.53,83,92,17.25
Esperance,-33.87,121.9,60.8,48,0,3.78
Port-Gentil,-0.72,8.78,82.4,78,75,10.29
Alofi,-19.06,-169.92,73.4,100,65,1.12
Clyde River,70.47,-68.59,28.4,74,1,17.22
Baylo,7.85,126.06,82.42,82,100,3.76
Hong Kong,22.29,114.16,80.53,84,100,10.4
Yakeshi,49.28,120.73,57.27,86,100,3.62
Aklavik,68.22,-135.01,57.2,50,20,8.05
Mnogovershinnyy,53.94,139.92,45.81,86,57,4.68
Tomatlán,19.93,-105.25,69.87,90,0,1.25
Ahipara,-35.17,173.17,54.52,67,84,4.12
Katsuura,35.13,140.3,76.03,73,3,1.99
Christchurch,-43.53,172.63,36.37,77,0,1.12
Khatanga,71.97,102.5,45.34,53,4,13.49
Cockburn Town,21.46,-71.14,80.64,81,100,18.52
Mataura,-46.19,168.86,42.08,86,53,6.42
Biltine,14.53,20.92,104.99,7,0,11.77
São Filipe,14.9,-24.5,75.15,78,4,5.28
Porto-Novo,6.5,2.6,84.2,79,20,4.7
Madikeri,12.42,75.73,87.8,74,40,5.82
Cayenne,4.93,-52.33,73.4,100,20,5.93
San Felipe,10.34,-68.74,71.2,89,13,2.42
Marawi,8.0,124.29,82.99,80,100,1.01
Hereford,52.06,-2.71,56.3,68,86,1.01
Markova,48.68,24.41,77.0,53,96,6.71
Varhaug,58.61,5.65,50.9,71,75,11.41
Codrington,-38.27,141.97,49.68,74,99,4.38
Anan,33.92,134.65,75.2,78,75,19.46
Hobyo,5.35,48.53,89.78,54,3,19.17
Kavieng,-2.57,150.8,84.38,70,27,7.11
Fortuna,40.6,-124.16,45.18,100,40,3.36
Leningradskiy,69.38,178.42,43.32,82,83,2.75
Madaoua,14.07,5.96,91.6,38,30,11.18
Mount Isa,-20.73,139.5,71.6,35,1,6.93
Pesca,5.55,-73.05,46.6,85,61,2.17
Vaini,-21.2,-175.2,73.4,88,75,13.87
Baruun-Urt,46.68,113.28,75.51,17,56,27.89
Talnakh,69.49,88.4,48.2,45,0,29.08
Opuwo,-18.06,13.84,71.98,27,0,13.65
Sfântu Gheorghe,45.87,25.78,72.68,52,6,3.91
Cape Town,-33.93,18.42,62.31,82,20,11.41
Hirara,24.8,125.28,77.0,94,75,13.87
Coahuayana Viejo,18.73,-103.68,73.71,84,95,1.07
Kyren,51.68,102.14,64.56,33,75,8.28
Crotone,39.09,17.12,68.0,88,40,8.05
Ocean City,39.28,-74.57,58.98,67,1,10.94
Perth,-31.93,115.83,68.13,45,10,8.05
Meulaboh,4.14,96.13,84.81,63,100,4.52
Diu,20.71,70.98,89.8,64,7,13.31
Shimoda,34.67,138.95,73.02,69,20,12.75
Pevek,69.7,170.31,35.49,89,0,9.1
Paita,-5.09,-81.11,65.35,85,7,11.16
Darhan,49.49,105.92,55.06,66,100,0.96
Bjørnevatn,69.67,29.98,57.2,58,75,33.33
Nador,35.17,-2.93,74.23,60,3,12.75
Ust-Tsilma,65.44,52.15,81.72,29,40,10.51
